,Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek,UserName,DB
116,2017-02-10,21,614,0.03,0.01,0.0,00 to 01,0.00125,0.00337831962346088,Friday,AkashSahu,DB03 
117,2016-01-02,18,533,0.06000000000000001,0.01,0.0,00 to 01,0.0025,0.004423258684646916,Saturday,AkshayaAdabar,DB09 
118,2016-02-02,17,533,0.07,0.01,0.0,17 to 18,0.0029166666666666672,0.0046430562148753645,Tuesday,AkshayaAdabar,DB09 
119,2016-03-02,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday,AkshayaAdabar,DB09 
120,2016-04-02,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday,AkshayaAdabar,DB09 
121,2016-05-02,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday,AkshayaAdabar,DB09 
122,2016-06-02,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Thursday,AkshayaAdabar,DB09 
123,2016-07-02,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday,AkshayaAdabar,DB09 
124,2016-08-02,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Tuesday,AkshayaAdabar,DB09 
125,2016-09-02,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Friday,AkshayaAdabar,DB09 
126,2016-10-02,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Sunday,AkshayaAdabar,DB09 
127,2016-11-02,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday,AkshayaAdabar,DB09 
128,2016-12-02,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Friday,AkshayaAdabar,DB09 
129,2016-02-13,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday,AkshayaAdabar,DB09 
130,2016-02-14,19,533,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990532,Sunday,AkshayaAdabar,DB09 
131,2016-02-16,17,533,0.07,0.01,0.0,17 to 18,0.0029166666666666672,0.0046430562148753645,Tuesday,AkshayaAdabar,DB09 
132,2016-02-17,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday,AkshayaAdabar,DB09 
133,2016-02-18,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Thursday,AkshayaAdabar,DB09 
134,2016-02-19,12,533,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Friday,AkshayaAdabar,DB09 
