,DB,Date,UnitsConsumed
331,DB01 ,10/5/2017,0.15
332,DB01 ,10/6/2017,0.29
333,DB01 ,10/7/2017,0.08
334,DB01 ,10/9/2017,0.17
335,DB01 ,10/11/2017,0.24
336,DB01 ,10/12/2017,0.01
337,DB01 ,10/13/2017,0.02
338,DB01 ,10/17/2017,0.02
339,DB01 ,10/18/2017,0.05
340,DB01 ,10/19/2017,0.05
341,DB01 ,10/24/2017,0.01
342,DB01 ,10/25/2017,0.04
343,DB01 ,10/26/2017,0.04
344,DB01 ,10/27/2017,0.02
345,DB01 ,11/1/2017,0.47
346,DB01 ,11/2/2017,0.83
347,DB01 ,11/4/2017,0.94
348,DB01 ,11/5/2017,0.13
349,DB01 ,11/6/2017,0.14
350,DB01 ,11/7/2017,0.02
351,DB01 ,11/9/2017,0.16
352,DB01 ,11/10/2017,0.02
353,DB01 ,11/11/2017,0.17
354,DB01 ,11/12/2017,0.27
355,DB01 ,11/13/2017,0.16
356,DB01 ,11/14/2017,0.25
357,DB01 ,11/15/2017,0.28
358,DB01 ,11/16/2017,0.17
359,DB01 ,11/17/2017,0.01
360,DB01 ,12/1/2017,0.85
361,DB01 ,12/2/2017,0.83
362,DB01 ,12/4/2017,1.39
363,DB01 ,12/5/2017,0.14
364,DB01 ,12/6/2017,0.16
365,DB01 ,12/9/2017,0.01
366,DB01 ,12/10/2017,0.03
367,DB01 ,12/11/2017,0.19
368,DB01 ,12/12/2017,0.56
369,DB01 ,12/13/2017,0.38
370,DB01 ,12/15/2017,0.33
371,DB01 ,12/16/2017,0.68
372,DB01 ,12/17/2017,0.63
373,DB01 ,12/18/2017,0.64
374,DB01 ,12/19/2017,0.64
375,DB01 ,12/20/2017,0.6
376,DB01 ,12/21/2017,0.69
377,DB01 ,12/22/2017,0.78
378,DB01 ,12/23/2017,0.72
379,DB01 ,12/24/2017,0.63
380,DB01 ,12/25/2017,0.57
381,DB01 ,12/26/2017,0.45
382,DB01 ,4/1/2018,0.57
383,DB01 ,5/1/2018,0.5
384,DB01 ,6/1/2018,0.54
385,DB01 ,7/1/2018,0.24
386,DB02 ,1/2/2016,1.26
387,DB02 ,1/3/2016,1.33
388,DB02 ,1/4/2016,1.82
389,DB02 ,1/5/2016,2.04
390,DB02 ,1/6/2016,0.02
391,DB02 ,1/8/2016,0.35
392,DB02 ,1/12/2016,1.24
393,DB02 ,2/2/2016,1.17
394,DB02 ,2/3/2016,1.36
395,DB02 ,2/4/2016,1.71
396,DB02 ,2/5/2016,2.8
397,DB02 ,2/8/2016,0.04
398,DB02 ,2/12/2016,0.07
399,DB02 ,2/13/2016,1.21
400,DB02 ,2/14/2016,0.35
401,DB02 ,2/15/2016,0.73
402,DB02 ,2/16/2016,1.14
403,DB02 ,2/17/2016,0.98
404,DB02 ,2/18/2016,0.97
405,DB02 ,2/19/2016,1.17
406,DB02 ,2/20/2016,1.14
407,DB02 ,2/21/2016,1.21
408,DB02 ,2/22/2016,1.15
409,DB02 ,2/23/2016,1.08
410,DB02 ,2/24/2016,1.04
411,DB02 ,2/25/2016,1.17
412,DB02 ,2/26/2016,0.95
413,DB02 ,2/27/2016,0.99
414,DB02 ,2/28/2016,1.25
415,DB02 ,2/29/2016,1.36
416,DB02 ,3/2/2016,1.21
417,DB02 ,3/3/2016,1.26
418,DB02 ,3/4/2016,1.9
419,DB02 ,3/5/2016,2.37
420,DB02 ,3/12/2016,1.07
421,DB02 ,3/13/2016,1.03
422,DB02 ,3/14/2016,0.36
423,DB02 ,3/15/2016,0.05
424,DB02 ,3/16/2016,1.03
425,DB02 ,3/17/2016,1.17
426,DB02 ,3/18/2016,1.21
427,DB02 ,3/19/2016,1.38
428,DB02 ,3/20/2016,1.21
429,DB02 ,3/21/2016,1
430,DB02 ,3/22/2016,0.93
431,DB02 ,3/23/2016,0.99
432,DB02 ,3/24/2016,1.05
433,DB02 ,3/25/2016,1.42
434,DB02 ,3/26/2016,1.24
435,DB02 ,3/27/2016,1.63
436,DB02 ,3/28/2016,1.84
437,DB02 ,3/29/2016,2.49
438,DB02 ,3/30/2016,1.5
439,DB02 ,3/31/2016,1.91
440,DB02 ,4/2/2016,1.39
441,DB02 ,4/3/2016,1.21
442,DB02 ,4/4/2016,2.08
443,DB02 ,4/5/2016,1.98
444,DB02 ,4/12/2016,1.43
445,DB02 ,4/13/2016,2
446,DB02 ,4/14/2016,1.77
